,Model,Test_Year,Train_Years,Train_Rows,Test_Rows,Train_Time_Seconds,R2,RMSE,MAE,Total_Run_Time_Seconds,Target
151,mlp,2023,2019–2022,1000,247,11.3644,2.2500913123835176e-06,0.03185755160722442,0.025568494072337786,135.352,Gold-T+14
152,mlp,2024,2020–2023,999,249,13.9032,-0.3418687564886169,0.036678165320837654,0.028871221029132633,135.352,Gold-T+14
153,mlp,2025,2021–2024,997,177,10.4484,-0.4991991874542645,0.04083326415727976,0.03272245539050365,135.352,Gold-T+14
154,ridge,2015,2011–2014,989,249,2.7341,-0.35057034005941157,0.04715020154017693,0.0388814816908962,43.064,Gold-T+21
155,ridge,2016,2012–2015,987,247,2.5765,-0.4941754638801994,0.06088864603332169,0.04978913480074638,43.064,Gold-T+21
156,ridge,2017,2013–2016,990,246,2.8525,-1.9733714075691955,0.05174433009869012,0.04319938421285324,43.064,Gold-T+21
157,ridge,2018,2014–2017,988,247,2.7452,-2.733043400008872,0.0473526074540856,0.039798990965060135,43.064,Gold-T+21
158,ridge,2019,2015–2018,989,248,2.6184,-0.47381193682478395,0.03898639446235119,0.03237812035235306,43.064,Gold-T+21
159,ridge,2020,2016–2019,988,251,2.5865,-1.1779146124709539,0.06310318571234852,0.04721004086750337,43.064,Gold-T+21
160,ridge,2021,2017–2020,992,251,2.4779,-0.6424566370641733,0.04685888724176577,0.035376575653187435,43.064,Gold-T+21
161,ridge,2022,2018–2021,997,250,2.5305,0.09931385943178861,0.04193491067544285,0.034827701997654545,43.064,Gold-T+21
162,ridge,2023,2019–2022,1000,247,2.6743,0.006387559870509207,0.03487759100585938,0.02639892607755471,43.064,Gold-T+21
163,ridge,2024,2020–2023,999,249,2.8046,-1.717770025362491,0.05590687919533973,0.04773667139126271,43.064,Gold-T+21
164,ridge,2025,2021–2024,997,177,2.8078,-0.020653644488734413,0.04072609322160399,0.031188000375772695,43.064,Gold-T+21
165,et,2015,2011–2014,989,249,4.8776,-0.049145147747358786,0.04155686119131618,0.03253031131325006,58.786,Gold-T+21
166,et,2016,2012–2015,987,247,3.6638,-0.09490284009587424,0.052122268337688384,0.04104516094706215,58.786,Gold-T+21
167,et,2017,2013–2016,990,246,3.9451,-0.3247862599306799,0.03453910629452071,0.02803480945066124,58.786,Gold-T+21
168,et,2018,2014–2017,988,247,4.4223,-0.46500438739823546,0.029664145415828718,0.024330008995471827,58.786,Gold-T+21
169,et,2019,2015–2018,989,248,3.9636,-0.2245349449525773,0.035536743648639124,0.02720318074576978,58.786,Gold-T+21
170,et,2020,2016–2019,988,251,3.5374,-0.06040117622513819,0.04403175145878003,0.03379160692523443,58.786,Gold-T+21
171,et,2021,2017–2020,992,251,3.8965,-0.10079958132004263,0.038361814664246006,0.031032325290529076,58.786,Gold-T+21
172,et,2022,2018–2021,997,250,4.4294,0.023740185194188856,0.04365878936629205,0.036917372051483315,58.786,Gold-T+21
